"","artist","nationality","title","medium","credit","accession","onview","genre","width","height","creation_date","acc_date","set","room","area","orientation"
"1","Aelbert Cuyp"," Dutch, 1620 - 1691","A Pier Overlooking Dordrecht","oil on panel","Gift of George M. and Linda H. Kaufman","2012.73.1","true","Seascape",44.5,75.9,1640,2012,"Wheelock","M-047",3377.55,"portrait"
"2","Simon de Vlieger"," Dutch, 1600/1601 - 1653","Estuary at Day's End","oil on panel","Patrons’ Permanent Fund and The Lee and Juliet Folger Fund in memory of Kathrine Dulin Folger","1997.101.1","true","Seascape",36.8,58.4,1640,1997,"Wheelock","M-050-A",2149.12,"portrait"
"3","Johannes Cornelisz Verspronck"," Dutch, 1606/1609 - 1662","Andries Stilte as a Standard Bearer","oil on canvas","Patrons' Permanent Fund","1998.13.1","true","Portrait",104,78.5,1640,1998,"Wheelock","M-046",8164,"landscape"
"4","Jan de Bray"," Dutch, c. 1627 - 1688","Portrait of the Artist's Parents, Salomon de Bray and Anna Westerbaen","oil on panel","Gift of Joseph F. McCrindle in memory of his grandparents, Mr. and Mrs. J. F. Feder","2001.86.1","true","Portrait",78.1,63.5,1664,2001,"Wheelock","M-046",4959.35,"landscape"
"5","Willem van de Velde the Younger"," Dutch, 1633 - 1707","Ships in a Gale","oil on panel","Patrons' Permanent Fund","2000.72.1","true","Seascape",72.4,108,1660,2000,"Wheelock","M-049",7819.2,"portrait"
"6","Aelbert Cuyp"," Dutch, 1620 - 1691","Lady and Gentleman on Horseback","oil on canvas","Widener Collection","1942.9.15","true","Landscape",123,172,1655,1942,"Widener","M-047",21156,"portrait"
"7","Aelbert Cuyp"," Dutch, 1620 - 1691","Horsemen and Herdsmen with Cattle","oil on canvas","Widener Collection","1942.9.16","true","Landscape",120,171.5,1655,1942,"Widener","M-100",20580,"portrait"
"8","Frans Hals"," Dutch, c. 1582/1583 - 1666","Portrait of a Man","oil on canvas","Widener Collection","1942.9.28","true","Portrait",63.5,53.5,1648,1942,"Widener","M-046",3397.25,"landscape"
"9","Frans Hals"," Dutch, c. 1582/1583 - 1666","Portrait of a Gentleman","oil on canvas","Widener Collection","1942.9.29","false","Portrait",114,85,1650,1942,"Widener","Storage",9690,"landscape"
"10","Meindert Hobbema"," Dutch, 1638 - 1709","Hut among Trees","oil on canvas","Widener Collection","1942.9.30","false","Landscape",96.5,108,1664,1942,"Widener","Storage",10422,"portrait"
"11","Meindert Hobbema"," Dutch, 1638 - 1709","The Travelers","oil on canvas","Widener Collection","1942.9.31","true","Landscape",101,145,NA,1942,"Widener","M-100",14645,"portrait"
"12","Meindert Hobbema"," Dutch, 1638 - 1709","Village near a Pool","oil on canvas","Widener Collection","1942.9.32","false","Landscape",81,107,1670,1942,"Widener","Storage",8667,"portrait"
"13","Jan Both"," Dutch, 1615/1618 - 1652","An Italianate Evening Landscape","oil on canvas","Patrons' Permanent Fund","2000.91.1","true","Landscape",138.5,172.7,1650,2000,"Wheelock","G-013",23918.95,"portrait"
"14","Pieter de Hooch"," Dutch, 1629 - 1684","The Bedroom","oil on canvas","Widener Collection","1942.9.33","true","Genre",51,60,1658,1942,"Widener","M-050",3060,"portrait"
"15","Pieter de Hooch"," Dutch, 1629 - 1684","Woman and Child in a Courtyard","oil on canvas","Widener Collection","1942.9.34","false","Genre",73.5,66,1658,1942,"Widener","Storage",4851,"landscape"
"16","Philips Wouwerman"," Dutch, 1619 - 1668","Battle Scene","oil on panel","Gift of Joseph F. McCrindle in memory of Frederick A. den Broeder","2000.159.1","true","Genre",48,82.5,1645,2000,"Wheelock","M-050",3960,"portrait"
"17","Adriaen van Ostade"," Dutch, 1610 - 1685","The Cottage Dooryard","oil on canvas","Widener Collection","1942.9.48","true","Genre",44,39.5,1673,1942,"Widener","M-047",1738,"landscape"
"18","Isack van Ostade"," Dutch, 1621 - 1649","The Halt at the Inn","oil on panel transferred to canvas","Widener Collection","1942.9.49","true","Genre",50,66,1645,1942,"Widener","M-047",3300,"portrait"
"19","Paulus Potter"," Dutch, 1625 - 1654","A Farrier's Shop","oil on panel","Widener Collection","1942.9.52","true","Genre",48.3,45.7,1648,1942,"Widener","M-047",2207.31,"landscape"
"20","Jacob van Walscapelle"," Dutch, 1644 - 1727","Still Life with Fruit","oil on panel","Juliet and Lee Folger/The Folger Fund","2001.71.1","true","Still Life",40,34.7,1675,2001,"Wheelock","M-050-B",1388,"landscape"
"21","Rembrandt Workshop"," Dutch, 1606 - 1669","Head of Saint Matthew","oil on panel","Widener Collection","1942.9.58","false","Biblical",25,19.5,1660,1942,"Widener","Storage",487.5,"landscape"
"22","Rembrandt van Rijn (and Workshop?)"," Dutch, 1606 - 1669","The Apostle Paul","oil on canvas","Widener Collection","1942.9.59","false","Biblical",131.5,104.4,1657,1942,"Widener","Storage",13728.6,"landscape"
"23","Rembrandt van Rijn"," Dutch, 1606 - 1669","The Circumcision","oil on canvas","Widener Collection","1942.9.60","true","Biblical",56.5,75,1661,1942,"Widener","M-051",4237.5,"portrait"
"24","Rembrandt Workshop (Probably Constantijn van Renesse)"," Dutch, 1606 - 1669","The Descent from the Cross","oil on canvas","Widener Collection","1942.9.61","true","Biblical",142,110.9,1650,1942,"Widener","M-100",15747.8,"landscape"
"25","Rembrandt van Rijn"," Dutch, 1606 - 1669","The Mill","oil on canvas","Widener Collection","1942.9.62","true","Landscape",87.6,105.6,1645,1942,"Widener","M-048",9250.56,"portrait"
"26","Follower of Rembrandt van Rijn"," Dutch, 1606 - 1669","Study of an Old Man","oil on panel","Widener Collection","1942.9.63","false","Portrait",28,21.5,NA,1942,"Widener","Storage",602,"landscape"
"27","Rembrandt Workshop"," Dutch, 1606 - 1669","Head of an Aged Woman","oil on panel","Widener Collection","1942.9.64","false","Genre",21.1,17.5,1655,1942,"Widener","Storage",369.25,"landscape"
"28","Rembrandt van Rijn"," Dutch, 1606 - 1669","Philemon and Baucis","oil on panel transferred to panel","Widener Collection","1942.9.65","true","Mythological",54.5,68.5,1658,1942,"Widener","M-048",3733.25,"portrait"
"29","Rembrandt Workshop (Possibly Willem Drost)"," Dutch, 1606 - 1669","The Philosopher","oil on panel","Widener Collection","1942.9.66","true","Portrait",61.5,49.5,1653,1942,"Widener","M-051",3044.25,"landscape"
"30","Rembrandt van Rijn"," Dutch, 1606 - 1669","Portrait of a Gentleman with a Tall Hat and Gloves","oil on canvas transferred to canvas","Widener Collection","1942.9.67","true","Portrait",99.5,82.5,1656,1942,"Widener","M-051",8208.75,"landscape"
"31","Rembrandt van Rijn"," Dutch, 1606 - 1669","Portrait of a Lady with an Ostrich-Feather Fan","oil on canvas transferred to canvas","Widener Collection","1942.9.68","true","Portrait",99.5,83,1656,1942,"Widener","M-051",8258.5,"landscape"
"32","Rembrandt van Rijn"," Dutch, 1606 - 1669","Portrait of a Man in a Tall Hat","oil on canvas","Widener Collection","1942.9.69","true","Portrait",121.3,94,1663,1942,"Widener","M-100",11402.2,"landscape"
"33","Rembrandt Workshop"," Dutch, 1606 - 1669","Portrait of Rembrandt","oil on canvas","Widener Collection","1942.9.70","true","Portrait",92,75.5,1650,1942,"Widener","M-051",6946,"landscape"
"34","Rembrandt van Rijn"," Dutch, 1606 - 1669","Saskia van Uylenburgh, the Wife of the Artist","oil on panel","Widener Collection","1942.9.71","false","Portrait",62.5,49,1634,1942,"Widener","Storage",3062.5,"landscape"
